"";"antygona";"duma_i_uprzedzenie";"dziewczyna_z_tatuazem";"gra_o_tron";"jane_eyre";"kod_da_vinci";"komunikacja_radiowa_w_locie";"miecz_prawdy";"milczenie_owiec";"procedury_bezpieczenstwa_w_locie";"procedury_boeing_737";"przygotowanie_do_startu_i_ladowania";"romeo";"sklep_z_porcelana";"trzy_siostry";"wesele";"wiedzmin";"wladca_pierscieni";"zakochani_w_rzymie";"zlodziejka_ksiazek"
"adaptacja";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"akt";0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;0;0;0;0
"aktualny";0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"ambicja";0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"ambitny";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"analiza";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
"analizować";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"anglii";0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aspekt";0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
"atmosfera";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"automatyczny";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"autor";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"autorstwo";0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1
"awaryjny";0;0;0;0;0;0;1;0;0;11;0;2;0;0;0;0;0;0;0;0
"awionika";0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0
"bal";0;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0
"bardziej";0;0;2;0;0;2;0;0;1;0;0;0;0;0;2;0;0;0;0;1
"bezpieczeństwo";0;0;0;0;0;0;5;0;0;21;4;14;0;0;0;0;0;0;0;0
"biedny";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"bieżący";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
"bitwa";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"bliski";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2
"bóg";1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bogacić";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bogaty";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
"bohater";0;0;0;1;0;1;0;1;2;0;0;0;0;1;3;0;3;1;0;0
"bohaterka";0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"brakuje";0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
"brat";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
"bronić";1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"brutalny";0;0;0;2;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0
"budzić";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"cały";0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;1;3;1;0;1
"cel";0;0;0;0;1;0;3;0;2;3;1;4;0;0;0;1;2;0;0;0
"chcieć";0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"chłopcem";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"chronić";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0
"chwila";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
"ciało";3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"ciemny";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"ciężar";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
"codzienny";0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0;0
"córka";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"czarna";0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0
"czarny";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"czas";0;0;0;0;2;0;0;0;1;0;0;1;0;1;4;1;0;0;0;4
"część";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"członek";0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0
"czoło";0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0
"czuły";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0
"czyn";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"czynnik";0;0;0;0;0;0;1;0;0;0;2;5;0;0;1;0;0;0;0;0
"czynność";0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0
"czytelnik";0;0;1;3;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"dawać";0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;1;0;0;0;1
"dawny";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
"decydować";0;0;0;0;2;0;0;0;0;0;0;0;2;1;0;0;0;1;2;1
"decyzja";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"delikatny";0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0
"demon";0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
"determinacja";0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
"dobro";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"dochodzić";0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"docierać";1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0
"dodatkowy";0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
"dokument";0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0
"dominować";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"domu";0;0;0;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;1
"doprowadzić";1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"doskonały";0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"dostarczyć";0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0
"dostępny";0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
"dostosowywać";0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
"doświadczenie";0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"dotyczyć";0;0;1;2;0;4;6;0;0;2;0;7;0;0;0;0;0;0;0;0
"dowiadywać";2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"dramat";1;0;0;0;0;0;0;0;0;0;0;0;0;4;3;6;0;0;0;0
"dramatyczny";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"droga";0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1
"dwóch";0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0
"dylemat";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"działać";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
